OBJECT_NAME,NORAD_CAT_ID,INCLINATION,ECCENTRICITY,RAAN,ARGUMENT_OF_PERIGEE,MEAN_ANOMALY,MEAN_MOTION,DRAG,LAUNCH_DATE,DECAY_DATE,ACTUAL_LIFETIME,LIFETIME_CLASS
JUNO II R/B,23,50.267398834228516,0.0018342999974265695,226.97340393066406,32.57120132446289,327.5638122558594,16.13561323,0.003006499959155917,1959-10-13,1989-07-16,30,3
THOR ABLE R/B,28,48.34260177612305,0.00036279999767430127,203.33689880371094,333.1828918457031,26.922000885009766,16.40114415,0.0014739000471308827,1960-04-01,1991-07-03,31,3
THOR ABLESTAR R/B,30,51.25,0.0,356.48919677734375,331.9472961425781,28.052600860595703,16.29358349,0.0,1960-04-13,1961-08-18,1,1
SPUTNIK 4 DEB,37,64.88990020751953,0.0198403000831604,343.2410888671875,333.42010498046875,27.083999633789062,15.49800338,0.0,1960-05-15,1961-06-30,1,1
JUNO II R/B,62,49.88520050048828,0.0004621999978553504,300.26519775390625,342.1850891113281,17.966299057006836,16.41189261,0.0014029999729245901,1960-11-03,1985-10-27,25,3
DELTA 1 R/B,64,48.467498779296875,0.0009545999928377569,356.4796142578125,2.9809000492095947,357.3240051269531,16.26432176,0.002180499956011772,1960-11-23,1981-09-24,21,3
JUNO II DEB,69,49.26570129394531,0.0033130000811070204,17.180700302124023,20.60260009765625,339.6235046386719,15.95021175,0.0,1960-11-03,1970-02-16,10,2
DELTA 1 DEB,74,48.53739929199219,0.0009532999829389155,350.7699890136719,238.72850036621094,120.98500061035156,16.11032606,0.0022120000794529915,1960-11-23,1989-05-10,29,3
DELTA 1 DEB,75,48.500301361083984,0.0012245000107213855,110.5790023803711,332.5609130859375,27.634700775146484,16.20974718,0.0016799999866634607,1960-11-23,1990-01-25,30,3
ATLAS AGENA A R/B,79,97.3467025756836,0.003260999917984009,44.23500061035156,143.87950134277344,216.4665069580078,16.49960777,0.0,1961-01-31,1970-10-09,9,2
THOR ABLESTAR DEB,99,51.26110076904297,0.00047279999125748873,217.54800415039062,97.42960357666016,263.3330078125,16.18346998,0.0009806000161916018,1960-04-13,1979-07-15,19,3
THOR ABLE DEB [YO],101,48.47269821166992,3.980000110459514e-05,27.999000549316406,270.9060974121094,249.826904296875,16.35832332,0.001129399985074997,1960-04-01,1983-04-17,23,3
JUNO II DEB,105,50.424198150634766,0.006238999776542187,28.496599197387695,251.97390747070312,107.44010162353516,15.88057487,0.0,1960-11-03,1972-03-03,12,2
